address	label
0x4CF5C0	AVEventPrefs::vfunc0
0x604E40	AVEventPrefs::vfunc1
0x4041C0	AVEventPrefs::vfunc2
0x4041C0	AVEventPrefs::vfunc3
0x59E9A0	AVEventPrefs::vfunc4
0x460B60	AVEventPrefs::vfunc5
0x610BC0	AVEventPrefs::vfunc6
0x547170	AVEventPrefs::vfunc7
0x610BD0	AVEventPrefs::vfunc8
0x64A9B0	AVEventPrefs::vfunc9
0x60EAE0	AVEventPrefs::vfunc10
0x460B60	AVEventPrefs::vfunc11
0x437C60	AVEventPrefs::vfunc12
0x460B60	AVEventPrefs::vfunc13
0x64CAE0	AVEventPrefs::vfunc14
0x57B040	AVEventPrefs::vfunc15
0x437C60	AVEventPrefs::vfunc16
0x610C00	AVEventPrefs::vfunc17
0x59E9B0	AVEventPrefs::vfunc18
0x59E9D0	AVEventPrefs::vfunc19
0x460B60	AVEventPrefs::vfunc20
0x67AA00	AVEventPrefs::vfunc21
0x4659C0	ActivatableMixin::vfunc0
0x465A60	ActivatableMixin::vfunc1
0x516940	ActivatableMixin::vfunc2
0x465AA0	ActivatableMixin::vfunc3
0x465AE0	ActivatableMixin::vfunc4
0x465C00	ActivatableMixin::vfunc5
0x465C30	ActivatableMixin::vfunc6
0x4CF5C0	ActivateCollisionComponent::vfunc0
0x604E40	ActivateCollisionComponent::vfunc1
0x680730	ActivateCollisionComponent::vfunc2
0x680760	ActivateCollisionComponent::vfunc3
0x6806C0	ActivateCollisionComponent::vfunc4
0x4179D0	Actor::vfunc0
0x46B3B0	Actor::vfunc1
0x421860	Actor::vfunc2
0x41DFF0	Actor::vfunc3
0x546E20	Actor::vfunc4
0x435630	Actor::vfunc5
0x46B350	Actor::vfunc6
0x41E090	Actor::vfunc7
0x41E1C0	Actor::vfunc8
0x41E2C0	Actor::vfunc9
0x546E20	Actor::vfunc10
0x46B3A0	Actor::vfunc11
0x516940	Actor::vfunc12
0x437C60	Actor::vfunc13
0x437C60	Actor::vfunc14
0x437C60	Actor::vfunc15
0x41E0E0	Actor::vfunc16
0x41E170	Actor::vfunc17
0x421880	Actor::vfunc0
0x421890	Actor::vfunc1
0x46A610	Actor::vfunc2
0x46A630	Actor::vfunc3
0x46A650	Actor::vfunc4
0x46A660	Actor::vfunc5
0x46AB50	Actor::vfunc6
0x46AB70	Actor::vfunc7
0x46AB90	Actor::vfunc8
0x63DDA0	Actor::vfunc9
0x46ABC0	Actor::vfunc10
0x63DDB0	Actor::vfunc11
0x46ABD0	Actor::vfunc12
0x46AF60	Actor::vfunc13
0x46ABE0	Actor::vfunc14
0x46AC70	Actor::vfunc15
0x46B210	Actor::vfunc16
0x46ACC0	Actor::vfunc17
0x46ACF0	Actor::vfunc18
0x46A7D0	Actor::vfunc19
0x46AF00	Actor::vfunc20
0x516940	Actor::vfunc21
0x47C830	Actor::vfunc22
0x4205B0	Actor::vfunc23
0x420B70	Actor::vfunc24
0x460B60	Actor::vfunc25
0x420590	Actor::vfunc26
0x65F170	Actor::vfunc27
0x65F500	Actor::vfunc28
0x46AC90	Actor::vfunc29
0x46AD10	Actor::vfunc30
0x4218B0	Actor::vfunc0
0x4607B0	Actor::vfunc1
0x4600D0	Actor::vfunc2
0x46D470	Actor::vfunc3
0x65F500	Actor::vfunc4
0x4218E0	Actor::vfunc5
0x41D380	Actor::vfunc0
0x604E40	Actor::vfunc1
0x57E760	Actor::vfunc2
0x57E760	Actor::vfunc3
0x5FDAA0	Actor::vfunc4
0x41DBC0	Actor::vfunc5
0x680110	Actor::vfunc6
0x604E40	Actor::vfunc7
0x47E370	Actor::vfunc8
0x64CAE0	Actor::vfunc9
0x64CAE0	Actor::vfunc10
0x64CAE0	Actor::vfunc11
0x64CAE0	Actor::vfunc12
0x41D1A0	Actor::vfunc13
0x64CAE0	Actor::vfunc14
0x65F310	Actor::vfunc15
0x41DB90	Actor::vfunc16
0x41F490	Actor::vfunc17
0x460B60	Actor::vfunc18
0x460260	Actor::vfunc19
0x460280	Actor::vfunc20
0x64CAE0	Actor::vfunc21
0x460B60	Actor::vfunc22
0x45F970	Actor::vfunc23
0x41E1A0	Actor::vfunc24
0x45F8A0	Actor::vfunc25
0x45F920	Actor::vfunc26
0x516940	Actor::vfunc27
0x64A9B0	Actor::vfunc28
0x460160	Actor::vfunc29
0x41FB70	Actor::vfunc30
0x41FB50	Actor::vfunc31
0x460830	Actor::vfunc32
0x460A00	Actor::vfunc33
0x421110	Actor::vfunc34
0x460B70	Actor::vfunc35
0x460110	Actor::vfunc36
0x4203F0	Actor::vfunc37
0x460B60	Actor::vfunc38
0x64A9B0	Actor::vfunc39
0x460610	Actor::vfunc40
0x41D790	Actor::vfunc41
0x45FE40	Actor::vfunc42
0x4218C0	Actor::vfunc43
0x41DBA0	Actor::vfunc44
0x516940	Actor::vfunc45
0x460A20	Actor::vfunc46
0x460A70	Actor::vfunc47
