node_id	path
0x5246E702	/data/geometry/attachments/bonnet.geo
0x8A2CB43C	/data/geometry/attachments/bountycan.geo
0xCF7B570E	/data/geometry/attachments/hammer.geo
0xAD538E9E	/data/geometry/attachments/misc_props/steef_laptop.geo
0xFD1BDFDF	/data/geometry/attachments/misc_props/steef_surgerybid.geo
0x806BC465	/data/geometry/attachments/opple.geo
0xF4021188	/data/geometry/attachments/outlaw_hats/blank_attach.geo
0x602EBCE6	/data/geometry/attachments/outlaw_hats/cutter_skullhat.geo
0xFB5DAC0C	/data/geometry/attachments/outlaw_hats/cutter_stripedhat.geo
0x6E54D28D	/data/geometry/attachments/outlaw_hats/mortar_hat.geo
0x001CC9B3	/data/geometry/attachments/outlaw_hats/nailer_skullhat.geo
0xB0FC7435	/data/geometry/attachments/outlaw_hats/shooter_skullhat.geo
0xF4B980E1	/data/geometry/attachments/outlaw_hats/shooter_sniperhat.geo
0x827B5171	/data/geometry/attachments/outlaw_hats/shooter_spikehelmet02.geo
0xB232FA21	/data/geometry/attachments/outlaw_hats/shooter_stripedhat.geo
0x5D2E5B0D	/data/geometry/attachments/outlaw_weapons/outlaw_blade_left.geo
0x0D8DA82D	/data/geometry/attachments/outlaw_weapons/outlaw_blade_right.geo
0x6CFCA5FB	/data/geometry/attachments/outlaw_weapons/outlaw_flamethrower.geo
0x2758589C	/data/geometry/attachments/outlaw_weapons/outlaw_fryingpan.geo
0x9C403F08	/data/geometry/attachments/outlaw_weapons/outlaw_knifequiver.geo
0xFE758E8C	/data/geometry/attachments/outlaw_weapons/outlaw_mortar.geo
0x9073FA32	/data/geometry/attachments/outlaw_weapons/outlaw_rifle.geo
0x2280CF68	/data/geometry/attachments/outlaw_weapons/outlaw_semiauto.geo
0x6D0FE094	/data/geometry/attachments/outlaw_weapons/outlaw_slicer_left.geo
0x5BCEF7D9	/data/geometry/attachments/outlaw_weapons/outlaw_slicer_right.geo
0x9158DC7D	/data/geometry/attachments/outlaw_weapons/outlaw_sniperrifle.geo
0xD865AEFD	/data/geometry/attachments/outlaw_weapons/outlaw_spikeleft.geo
0x69144C28	/data/geometry/attachments/outlaw_weapons/outlaw_spikeright.geo
0xEF7E604F	/data/geometry/attachments/player/firstperson_brassknuckles.geo
0x9A2424FD	/data/geometry/attachments/player/firstperson_fullarmorknuckles.geo
0xAEAED4D9	/data/geometry/attachments/player/firstperson_lightarmorknuckles.geo
0x0B34B21E	/data/geometry/attachments/player/firstperson_steelknuckles.geo
0xDA4A323F	/data/geometry/attachments/twnsflk_constructionhelmet.geo
0x03F4F52B	/data/geometry/attachments/twnsflk_curledcowboyhat.geo
0x09C4B20A	/data/geometry/attachments/twnsflk_hats/twnsflk_bonnet.geo
0x9DCAAA99	/data/geometry/attachments/twnsflk_hats/twnsflk_widecowboyhat.geo
0x8A786599	/data/geometry/attachments/twnsflk_props/twnsflk_crossbow.geo
0xA6DB79F3	/data/geometry/attachments/twnsflk_props/twnsflk_seedbag.geo
0x035FC0AF	/data/geometry/attachments/twnsflk_truckerhat_blue.geo
0xC5F2B2BE	/data/geometry/attachments/twnsflk_truckerhat_green.geo
0x29FC5C61	/data/geometry/attachments/twnsflk_truckerhat_red.geo
0xD8237EBE	/data/geometry/attachments/twnsflk_widecowboyhat.geo
0xA5AA4D90	/data/geometry/characters/badmortar/badmortar.geo
0x047ED391	/data/geometry/characters/bomber/anims/bmbr_airback.gr2
0x5AC322EA	/data/geometry/characters/bomber/anims/bmbr_airfront.gr2
0xE84E9910	/data/geometry/characters/bomber/anims/bmbr_airleft.gr2
0xEA26F15B	/data/geometry/characters/bomber/anims/bmbr_airright.gr2
0xD0517093	/data/geometry/characters/bomber/anims/bmbr_angry.gr2
0xFD6293D5	/data/geometry/characters/bomber/anims/bmbr_bolabreakout2.gr2
0x3FB6227A	/data/geometry/characters/bomber/anims/bmbr_bolahit3.gr2
0x15753ED9	/data/geometry/characters/bomber/anims/bmbr_bolastruggle4.gr2
0xFAEDF674	/data/geometry/characters/bomber/anims/bmbr_bounty.gr2
0x66F054B4	/data/geometry/characters/bomber/anims/bmbr_bountyidle.gr2
0xE08BBAF2	/data/geometry/characters/bomber/anims/bmbr_damage.gr2
0x7197CE56	/data/geometry/characters/bomber/anims/bmbr_die.gr2
0xA3DDEE59	/data/geometry/characters/bomber/anims/bmbr_dodgeleft.gr2
0x95E0D7BA	/data/geometry/characters/bomber/anims/bmbr_dodgeright.gr2
0xE3820C83	/data/geometry/characters/bomber/anims/bmbr_drown.gr2
0x8203FAF1	/data/geometry/characters/bomber/anims/bmbr_fallfar.gr2
0x313B1311	/data/geometry/characters/bomber/anims/bmbr_fallnear.gr2
0xB1477DC2	/data/geometry/characters/bomber/anims/bmbr_fireub.gr2
0x56642C59	/data/geometry/characters/bomber/anims/bmbr_flustered.gr2
0x6DCA09D9	/data/geometry/characters/bomber/anims/bmbr_getupfront.gr2
0xEF133831	/data/geometry/characters/bomber/anims/bmbr_groundback.gr2
0xA059C31E	/data/geometry/characters/bomber/anims/bmbr_groundfront.gr2
0x032372B0	/data/geometry/characters/bomber/anims/bmbr_groundleft.gr2
0x10BC10AF	/data/geometry/characters/bomber/anims/bmbr_groundright.gr2
0x395570B6	/data/geometry/characters/bomber/anims/bmbr_idle1_a.gr2
0xBFC10218	/data/geometry/characters/bomber/anims/bmbr_idle1_b.gr2
